1;01;janvier;janvier;january;jan
2;02;février;fevrier;february;feb;fev
3;03;mars;March;ma;mar
4;04;avril;april;ap;apr
5;05;mai;may
6;06;juin;june;jun
7;07;juillet;july;jul
8;08;aout;août;august;au;aug
9;09;septembre:september;sep
10;octobre;october;oct
11;novembre;november;nov
12;decembre;décembre;december;dec
